#Organism Group	Strain	Isolate identifiers	Serovar	Isolate	Create date	Location	Isolation Source	Isolation type	SNP cluster	Min-same	Min-diff	BioSample	Assembly	AMR genotypes	Computed types
Acinetobacter baumannii	MRSN7155	"MRSN 7155","MRSN7155","MRSN_ISO_7155","SRS1269938"		PDT000106858.1	2016-02-15T16:23:46Z	USA:Washington, DC	Surveillance	environmental/other	PDS000005666.14	0	0	SAMN04448596	GCA_016539405.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3')-VIa=COMPLETE,blaADC-79=COMPLETE,blaOXA-71=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE,tet(A)=COMPLETE	
Acinetobacter baumannii	MRSN11803	"MRSN 11803","MRSN11803","MRSN_ISO_11803","SRS1271519"		PDT000106860.1	2016-02-15T16:23:46Z	USA:Washington, DC	blood	environmental/other	PDS000005666.14	7	10	SAMN04450953	GCA_016539365.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3')-VIa=COMPLETE,blaADC-79=COMPLETE,blaOXA-313=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE,tet(A)=COMPLETE	
Acinetobacter baumannii	MRSN11804	"MRSN 11804","MRSN11804","MRSN_ISO_11804","SRS1271518"		PDT000106861.1	2016-02-15T16:23:46Z	USA:Washington, DC	wound	environmental/other	PDS000005666.14	0	3	SAMN04450954	GCA_016539425.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3')-VIa=COMPLETE,blaADC-79=COMPLETE,blaOXA-312=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE,tet(A)=COMPLETE	
Acinetobacter baumannii	MRSN11827	"MRSN 11827","MRSN11827","MRSN_ISO_11827","SRS1271529"		PDT000106869.1	2016-02-15T16:23:46Z	USA:Washington, DC	wound	environmental/other	PDS000005666.14	7	11	SAMN04450962	GCA_016539105.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3')-VIa=COMPLETE,blaADC-79=COMPLETE,blaOXA-313=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE,tet(A)=COMPLETE	
Acinetobacter baumannii	MRSN11833	"MRSN 11833","MRSN11833","MRSN_ISO_11833","SRS1271527"		PDT000106871.1	2016-02-15T16:23:46Z	USA:Washington, DC	wound	environmental/other	PDS000005666.14	4	4	SAMN04450964	GCA_016539125.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3')-VIa=COMPLETE,blaADC-79=COMPLETE,blaOXA-312=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE,tet(A)=COMPLETE	
Acinetobacter baumannii	MRSN8902	"MRSN 8902","MRSN8902","MRSN_ISO_8902","SRS1271521"		PDT000106877.1	2016-02-15T16:23:46Z	USA:Washington, DC	wound	environmental/other	PDS000005666.14	16	15	SAMN04450970	GCA_016538845.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3')-VIa=COMPLETE,blaADC-79=COMPLETE,blaOXA-71=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE,tet(A)=COMPLETE	
Acinetobacter baumannii	MRSN917	"MRSN 917","MRSN917","MRSN_ISO_917","SRS1271520"		PDT000106878.1	2016-02-15T16:23:46Z	USA:Washington, DC	wound	environmental/other	PDS000005666.14	2	2	SAMN04450971	GCA_016538975.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3')-VIa=COMPLETE,blaADC-79=COMPLETE,blaOXA-312=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE,tet(A)=COMPLETE	
Acinetobacter baumannii	MRSN919	"MRSN 919","MRSN919","MRSN_ISO_919","SRS1271538"		PDT000106879.1	2016-02-15T16:23:46Z	USA:Washington, DC	wound	environmental/other	PDS000005666.14	1	2	SAMN04450972	GCA_016538995.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3')-VIa=COMPLETE,blaADC-79=COMPLETE,blaOXA-312=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE,tet(A)=COMPLETE	
Acinetobacter baumannii	MRSN920	"MRSN 920","MRSN920","MRSN_ISO_920","SRS1271537"		PDT000106880.1	2016-02-15T16:23:46Z	USA:Washington, DC	wound	environmental/other	PDS000005666.14	5	5	SAMN04450973	GCA_016538905.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3')-VIa=COMPLETE,blaADC-79=COMPLETE,blaOXA-312=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE,tet(A)=COMPLETE	
Acinetobacter baumannii	MRSN926	"MRSN 926","MRSN926","MRSN_ISO_926","SRS1271536"		PDT000106881.1	2016-02-15T16:23:46Z	USA:Washington, DC	wound	environmental/other	PDS000005666.14	1	3	SAMN04450974	GCA_016538885.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3')-VIa=COMPLETE,blaADC-79=COMPLETE,blaOXA-312=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE,tet(A)=COMPLETE	
Acinetobacter baumannii	MRSN927	"MRSN 927","MRSN927","MRSN_ISO_927","SRS1271535"		PDT000106882.1	2016-02-15T16:23:46Z	USA:Washington, DC	cerebrospinal fluid	environmental/other	PDS000005666.14	2	6	SAMN04450975	GCA_016538895.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3')-VIa=COMPLETE,blaADC-79=COMPLETE,blaOXA-312=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE,tet(A)=COMPLETE	
Acinetobacter baumannii	MRSN939	"MRSN 939","MRSN939","MRSN_ISO_939","SRS1271534"		PDT000106883.1	2016-02-15T16:23:46Z	USA:Washington, DC	wound	environmental/other	PDS000005666.14	2	4	SAMN04450976	GCA_016538865.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3')-VIa=COMPLETE,blaADC-79=COMPLETE,blaOXA-312=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE,tet(A)=COMPLETE	
Acinetobacter baumannii	MRSN11701	"MRSN 11701","MRSN11701","MRSN_ISO_11701","SRS1296694"		PDT000107048.1	2016-02-16T16:24:51Z	USA:Washington, DC	wound	environmental/other	PDS000005666.14	8	0	SAMN04485908	GCA_016537065.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3')-VIa=COMPLETE,blaADC-79=COMPLETE,blaOXA-71=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE,tet(A)=COMPLETE	
Acinetobacter baumannii	MRSN11747	"MRSN 11747","MRSN11747","MRSN_ISO_11747","SRS1296690"		PDT000107052.1	2016-02-16T16:24:51Z	USA:Washington, DC	Tissue	environmental/other	PDS000005666.14	16	0	SAMN04485912	GCA_016536905.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3')-VIa=COMPLETE,blaADC-79=COMPLETE,blaOXA-71=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE,tet(39)=COMPLETE,tet(A)=COMPLETE	
Acinetobacter baumannii	MRSN11772	"MRSN 11772","MRSN11772","MRSN_ISO_11772","SRS1296687"		PDT000107055.1	2016-02-16T16:24:51Z	USA:Washington, DC	wound	environmental/other	PDS000005666.14	1	0	SAMN04485915	GCA_016536825.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3')-VIa=COMPLETE,blaADC-79=COMPLETE,blaOXA-71=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE,tet(A)=COMPLETE	
Acinetobacter baumannii	MRSN11783	"MRSN 11783","MRSN11783","MRSN_ISO_11783","SRS1296686"		PDT000107056.1	2016-02-16T16:24:51Z	USA:Washington, DC	Tissue	environmental/other	PDS000005666.14	1	0	SAMN04485916	GCA_016536795.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3')-VIa=COMPLETE,blaADC-79=COMPLETE,blaOXA-71=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE,tet(A)=COMPLETE	
Acinetobacter baumannii	MRSN11788	"MRSN 11788","MRSN11788","MRSN_ISO_11788","SRS1296685"		PDT000107057.1	2016-02-16T16:24:51Z	USA:Washington, DC	blood	environmental/other	PDS000005666.14	4	4	SAMN04485917	GCA_016536725.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3')-VIa=COMPLETE,blaADC-79=COMPLETE,blaOXA-71=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE,tet(A)=COMPLETE	
Acinetobacter baumannii	MRSN8900	"MRSN 8900","MRSN8900","MRSN_ISO_8900","SRS1296696"		PDT000107058.1	2016-02-16T16:24:51Z	USA:Washington, DC	wound	environmental/other	PDS000005666.14	16	11	SAMN04485918	GCA_016536785.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3')-VIa=COMPLETE,blaADC-79=COMPLETE,blaOXA-71=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE,tet(A)=COMPLETE	
Acinetobacter baumannii	MRSN11801	"MRSN 11801","MRSN11801","MRSN_ISO_11801","SRS1296711"		PDT000107066.1	2016-02-16T17:26:24Z	USA:Washington, DC	urine	environmental/other	PDS000005666.14	20	12	SAMN04487133	GCA_016536695.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3')-VIa=COMPLETE,blaADC-79=COMPLETE,blaOXA-71=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE,tet(A)=COMPLETE	
Acinetobacter baumannii	MRSN15066	"MRSN 15066","MRSN15066","MRSN_ISO_15066","SRS1296717"		PDT000107078.1	2016-02-16T17:26:25Z	USA:Washington, DC	blood	environmental/other	PDS000005666.14	3	2	SAMN04487145	GCA_016536445.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-VIa=COMPLETE,aph(6)-Id=COMPLETE,blaADC-79=COMPLETE,blaOXA-71=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	
Acinetobacter baumannii	MRSN15079	"MRSN 15079","MRSN15079","MRSN_ISO_15079","SRS1296715"		PDT000107080.1	2016-02-16T17:26:25Z	USA:Washington, DC	respiratory	environmental/other	PDS000005666.14	3	1	SAMN04487147	GCA_016536485.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaADC-79=COMPLETE,blaOXA-71=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	
Acinetobacter baumannii	MRSN921	"MRSN 921","MRSN921","MRSN_ISO_921","SRS1296713"		PDT000107082.1	2016-02-16T17:26:25Z	USA:Washington, DC	wound	environmental/other	PDS000005666.14	0	3	SAMN04487149	GCA_016536375.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3')-VIa=COMPLETE,blaADC-79=COMPLETE,blaOXA-312=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE,tet(A)=COMPLETE	
Acinetobacter baumannii	MRSN11797	"MRSN 11797","MRSN11797","MRSN_ISO_11797","SRS1296725"		PDT000107083.1	2016-02-16T18:21:58Z	USA:Washington, DC	respiratory	environmental/other	PDS000005666.14	1	1	SAMN04487132	GCA_016536345.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3')-VIa=COMPLETE,blaADC-79=COMPLETE,blaOXA-71=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE,tet(A)=COMPLETE	
Acinetobacter baumannii	MRSN7128	"MRSN 7128","MRSN7128","MRSN_ISO_7128","SRS1296794"		PDT000107100.1	2016-02-16T19:24:32Z	USA:Washington, DC	Surveillance	environmental/other	PDS000005666.14	3	1	SAMN04488271	GCA_016536285.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3')-VIa=COMPLETE,blaADC-79=COMPLETE,blaOXA-71=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE,tet(A)=COMPLETE	
Acinetobacter baumannii	MRSN7134	"MRSN 7134","MRSN7134","MRSN_ISO_7134","SRS1296793"		PDT000107101.1	2016-02-16T19:24:32Z	USA:Washington, DC	Surveillance	environmental/other	PDS000005666.14	3	2	SAMN04488272	GCA_016536305.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3')-VIa=COMPLETE,blaADC-79=COMPLETE,blaOXA-71=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE,tet(A)=COMPLETE	
Acinetobacter baumannii	MRSN7161	"MRSN 7161","MRSN7161","MRSN_ISO_7161","SRS1296791"		PDT000107103.1	2016-02-16T19:24:32Z	USA:Washington, DC	Surveillance	environmental/other	PDS000005666.14	8	3	SAMN04488274	GCA_016536185.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3')-VIa=COMPLETE,blaADC-79=COMPLETE,blaOXA-71=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE,tet(A)=COMPLETE	
Acinetobacter baumannii	MRSN7173	"MRSN 7173","MRSN7173","MRSN_ISO_7173","SRS1296787"		PDT000107104.1	2016-02-16T19:24:32Z	USA:Washington, DC	wound	environmental/other	PDS000005666.14	0	0	SAMN04488275	GCA_016536265.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3')-VIa=COMPLETE,blaADC-79=COMPLETE,blaOXA-71=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE,tet(A)=COMPLETE	
Acinetobacter baumannii	MRSN7448	"MRSN 7448","MRSN7448","MRSN_ISO_7448","SRS1296809"		PDT000107116.1	2016-02-16T19:24:32Z	USA:Washington, DC	blood	environmental/other	PDS000005666.14	4	1	SAMN04488287	GCA_016537685.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3')-VIa=COMPLETE,blaADC-79=COMPLETE,blaOXA-71=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	
Acinetobacter baumannii	MRSN7570	"MRSN 7570","MRSN7570","MRSN_ISO_7570","SRS1296818"		PDT000107122.1	2016-02-16T19:24:32Z	USA:Washington, DC	blood	environmental/other	PDS000005666.14	7	0	SAMN04488293	GCA_016537185.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3')-VIa=COMPLETE,blaADC-79=COMPLETE,blaOXA-71=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE,tet(A)=COMPLETE	
Acinetobacter baumannii	MRSN7619	"MRSN 7619","MRSN7619","SRS1317380"		PDT000111403.1	2016-03-01T22:25:57Z	USA:Washington, DC	Anaerobic Culture	clinical	PDS000005666.14	15	16	SAMN04525191	GCA_016534695.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,blaADC-79=COMPLETE,blaOXA-71=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE,tet(A)=COMPLETE	
Acinetobacter baumannii	MRSN7674	"MRSN 7674","MRSN7674","SRS1317392"		PDT000111407.1	2016-03-01T22:25:57Z	USA:Washington, DC	Surveillance	clinical	PDS000005666.14	1	19	SAMN04525195	GCA_016534465.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3')-VIa=COMPLETE,blaADC-79=COMPLETE,blaOXA-71=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE,tet(A)=COMPLETE	
Acinetobacter baumannii	MRSN7675	"MRSN 7675","MRSN7675","SRS1317391"		PDT000111408.1	2016-03-01T22:25:57Z	USA:Washington, DC	Sterile Fluid	clinical	PDS000005666.14	0	5	SAMN04525196	GCA_016534365.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3')-VIa=COMPLETE,blaADC-79=COMPLETE,blaOXA-71=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE,tet(A)=COMPLETE	
Acinetobacter baumannii	MRSN7684	"MRSN 7684","MRSN7684","SRS1317390"		PDT000111409.1	2016-03-01T22:25:57Z	USA:Washington, DC	Sterile Body Site	clinical	PDS000005666.14	2	6	SAMN04525197	GCA_016534445.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-VIa=COMPLETE,aph(6)-Id=COMPLETE,blaADC-79=COMPLETE,blaOXA-71=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	
Acinetobacter baumannii	MRSN7748	"MRSN 7748","MRSN7748","SRS1317384"		PDT000111415.1	2016-03-01T22:25:58Z	USA:Washington, DC	Surveillance	clinical	PDS000005666.14	2	6	SAMN04525203	GCA_016533145.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3')-VIa=COMPLETE,blaADC-79=COMPLETE,blaOXA-71=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE,tet(A)=COMPLETE	
Acinetobacter baumannii	MRSN7791	"MRSN 7791","MRSN7791","SRS1317399"		PDT000111418.1	2016-03-01T22:25:58Z	USA:Washington, DC	Sterile Body Site	clinical	PDS000005666.14	1	2	SAMN04525206	GCA_016533125.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3')-VIa=COMPLETE,blaADC-79=COMPLETE,blaOXA-71=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE,tet(A)=COMPLETE	
Acinetobacter baumannii	MRSN7165	"MRSN 7165","MRSN7165","SRS1333371"		PDT000113144.1	2016-03-10T16:26:49Z	USA:Washington, DC	urine	clinical	PDS000005666.14	0	0	SAMN04544430	GCA_016532555.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3')-VIa=COMPLETE,blaADC-79=COMPLETE,blaOXA-71=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE,tet(A)=COMPLETE	
Acinetobacter baumannii	MRSN7111	"MRSN 7111","MRSN7111","SRS1334250"		PDT000113164.1	2016-03-10T17:27:05Z	USA:Washington, DC	wound	clinical	PDS000005666.14	1	1	SAMN04515395	GCA_016532725.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3')-VIa=COMPLETE,blaADC-79=COMPLETE,blaOXA-71=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE,tet(A)=COMPLETE	
Acinetobacter baumannii	MRSN7138	"MRSN 7138","MRSN7138","SRS1334249"		PDT000113165.1	2016-03-10T17:27:05Z	USA:Washington, DC	STERILE BODY SITE	clinical	PDS000005666.14	0	0	SAMN04515397	GCA_016532425.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3')-VIa=COMPLETE,blaADC-79=COMPLETE,blaOXA-71=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE,tet(A)=COMPLETE	
Acinetobacter baumannii	MRSN7186	"MRSN 7186","MRSN7186","SRS1334310"		PDT000113174.1	2016-03-10T18:25:24Z	USA:Washington, DC	STERILE BODY SITE	clinical	PDS000005666.14	1	2	SAMN04515400	GCA_016530335.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaADC-79=COMPLETE,blaOXA-71=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	
Acinetobacter baumannii	MRSN7247	"MRSN 7247","MRSN7247","SRS1334301"		PDT000113178.1	2016-03-10T18:25:25Z	USA:Washington, DC	wound	clinical	PDS000005666.14	0	0	SAMN04515403	GCA_016530255.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3')-VIa=COMPLETE,blaADC-79=COMPLETE,blaOXA-71=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE,tet(A)=COMPLETE	
Acinetobacter baumannii	MRSN7258	"MRSN 7258","MRSN7258","SRS1334306"		PDT000113179.1	2016-03-10T18:25:25Z	USA:Washington, DC	wound	clinical	PDS000005666.14	4	12	SAMN04515404	GCA_016530275.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3')-VIa=COMPLETE,blaADC-79=COMPLETE,blaOXA-71=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE,tet(A)=COMPLETE	
Acinetobacter baumannii	MRSN7294	"MRSN 7294","MRSN7294","SRS1334305"		PDT000113180.1	2016-03-10T18:25:25Z	USA:Washington, DC	respiratory	clinical	PDS000005666.14	0	8	SAMN04515406	GCA_016530175.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,blaADC-79=COMPLETE,blaOXA-71=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE,tet(A)=COMPLETE	
Acinetobacter baumannii	MRSN7351	"MRSN 7351","MRSN7351","SRS1334304"		PDT000113181.1	2016-03-10T18:25:25Z	USA:Washington, DC	STERILE BODY SITE	clinical	PDS000005666.14	3	6	SAMN04515408	GCA_016530105.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3')-VIa=COMPLETE,blaADC-79=COMPLETE,blaOXA-71=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE,tet(A)=COMPLETE	
Acinetobacter baumannii	MRSN11735	"MRSN 11735","MRSN11735","SRS1334363"		PDT000113220.1	2016-03-10T19:26:26Z	USA:Washington, DC	wound	clinical	PDS000005666.14	3	3	SAMN04515790	GCA_016530155.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3')-VIa=COMPLETE,blaADC-79=COMPLETE,blaOXA-71=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE,tet(A)=COMPLETE	
Acinetobacter baumannii	MRSN7166	"MRSN 7166","MRSN7166","SRS1334356"		PDT000113227.1	2016-03-10T19:26:26Z	USA:Washington, DC	wound	clinical	PDS000005666.14	0	0	SAMN04515797	GCA_016530005.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3')-VIa=COMPLETE,blaADC-79=COMPLETE,blaOXA-71=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE,tet(A)=COMPLETE	
Acinetobacter baumannii	MRSN7211	"MRSN 7211","MRSN7211","SRS1334355"		PDT000113229.1	2016-03-10T19:26:26Z	USA:Washington, DC	respiratory	clinical	PDS000005666.14	2	3	SAMN04515799	GCA_016529885.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaADC-79=COMPLETE,blaOXA-71=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	
Acinetobacter baumannii	MRSN7245	"MRSN 7245","MRSN7245","SRS1334373"		PDT000113231.1	2016-03-10T19:26:26Z	USA:Washington, DC	wound	clinical	PDS000005666.14	1	1	SAMN04515801	GCA_016529965.1	abaF=COMPLETE,adeC=COMPLETE,amvA=COMPLETE,ant(2'')-Ia=COMPLETE,ant(3'')-IIa=COMPLETE,aph(3')-VIa=COMPLETE,blaADC-79=COMPLETE,blaOXA-71=COMPLETE,gyrA_S81L=POINT,parC_S84L=POINT,sul1=COMPLETE,tet(A)=COMPLETE	
